Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,HKD,968,"2021-04-22, 22:44:38",-14000.0,14.44,14.12,202160.0,-370.18632,-178407.2722,23382.54152,4480,C;P
Trades,Data,Order,Stocks,HKD,968,"2021-04-28, 02:56:35",20000.0,13.34,13.48,-266800.0,-487.6436,267287.6436,0,2800,O
Trades,Data,Order,Stocks,HKD,968,"2021-05-27, 21:43:29",-20000.0,13.7,13.78,274000.0,-501.598,-267287.6436,6210.7584,-1600,C;P
Trades,Data,Order,Stocks,HKD,9888,"2021-03-28, 21:20:16",1000.0,211.0,203.4,-211000.0,-385.497,211385.497,0,-7600,O
Trades,Data,Order,Stocks,JPY,3436.T,"2021-02-16, 19:00:00",1000.0,2482.0,2541,-2482000.0,-1985.6,2483985.6,0,59000,O
Trades,Data,Order,Stocks,JPY,3436.T,"2021-02-24, 20:25:49",-1000.0,2611.0,2574,2611000.0,-2088.8,-2483985.6,124925.6,37000,C
Trades,Data,Order,Stocks,USD,AAPL,"2021-02-01, 15:07:28",200.0,134.51,134.14,-26902.0,-1,26903,0,-74,O;P
Trades,Data,Order,Stocks,USD,AAPL,"2021-02-04, 16:36:01",-200.0,137.3,137.39,27460.0,-1.630666,-26903,555.369334,-18,C
Trades,Data,Order,Stocks,USD,AAPL,"2021-02-17, 08:29:50",200.0,132.0,130.84,-26400.0,-1,26401,0,-232,O
Trades,Data,Order,Stocks,USD,AAPL,"2021-04-09, 13:11:23",-200.0,132.0,132.995,26400.0,-1.15844,-26401,-2.15844,-199,C
Trades,Data,Order,Stocks,USD,CX,"2021-02-03, 04:16:07",6.0,6.3,6.4,-37.8,-0.378,38.178,0,0.6,O;P
Trades,Data,Order,Stocks,USD,CX,"2021-02-03, 05:52:45",4994.0,6.35,6.4,-31711.9,-24.97,31736.87,0,249.7,O;P
Trades,Data,Order,Stocks,USD,CX,"2021-02-25, 07:44:55",-5000.0,6.8248,6.54,34124.0,-25.7690324,-31775.048,2323.182963,1424,C;P
Trades,Data,Order,Stocks,USD,CX,"2021-03-18, 15:57:52",4000.0,6.885,6.89,-27540.0,-20,27560,0,20,O;P
Trades,Data,Order,Stocks,USD,CX,"2021-04-05, 11:27:19",-4000.0,7.1032,7.17,28412.8,-20.62090528,-27560,832.179095,-267.2,C;P
