Mark-to-Market Performance Summary,Data,Stocks,NEM,0,0,--,--,3101,-388.5,-7.30240875,269.5,2974.697591,,,,
Mark-to-Market Performance Summary,Data,Stocks,PAASF,7500,0,0.825,--,937.5,0,-38.4288375,0,899.0711625,,,,
Mark-to-Market Performance Summary,Data,Stocks,PBR,0,0,--,--,910,-403.28,-71.1202983,0,435.5997017,,,,
Mark-to-Market Performance Summary,Data,Stocks,PRX,0,0,--,--,-235.8135,1500.8205,-69.9886,0,1195.0184,,,,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,0,0,--,--,518,87,-2.1743605,27.63,630.4556395,,,,
Mark-to-Market Performance Summary,Data,Stocks,R6Cd,0,0,--,--,6311.528722,-1408.231736,-77.5047734,0,4825.792212,,,,
Mark-to-Market Performance Summary,Data,Stocks,RB.,0,0,--,--,-87.5652,448.1184,-144.360012,0,216.193188,,,,
Mark-to-Market Performance Summary,Data,Stocks,RDSA.DIV,0,0,--,--,-488.0589698,0,0,419.44578,-68.61318977,,,,
Mark-to-Market Performance Summary,Data,Stocks,SGO,0,0,--,--,296.94675,347.62561,-51.876921,0,592.695439,,,,
Mark-to-Market Performance Summary,Data,Stocks,SOLB,0,0,--,--,64.1558,276.2598,-17.1541902,0,323.2614098,,,,
Mark-to-Market Performance Summary,Data,Stocks,SSRM,0,0,--,--,1070.5311,-335.35392,-47.5377,128.7330552,816.3725352,,,,
Mark-to-Market Performance Summary,Data,Stocks,TYR,0,0,--,--,3317.712,-1336.833,-34.518268,0,1946.360732,,,,
Mark-to-Market Performance Summary,Data,Stocks,UNVB,0,0,--,--,541.924,-374.41148,-69.5391,409.04512,507.01854,,,,
Mark-to-Market Performance Summary,Data,Stocks,VIV,0,0,--,--,-13.232,1085.572,-177.500772,0,894.839228,,,,
Mark-to-Market Performance Summary,Data,Stocks,VOW3d,0,0,--,--,5331.5874,-521.3736,-84.41641378,0,4725.797386,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,112.204502,-41851.07367,-2135.732797,1766.473955,-42108.12801,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CI 16APR21 190.0 P,0,0,--,--,-33.71,203.71,-1.74286,0,168.25714,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COP 20AUG21 47.0 P,0,-10,--,0.5245,2364.8,-29.3,-4.411206,0,2331.088794,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COP 20AUG21 55.0 C,0,10,--,6.2517,3570.8,10.9,-7.328,0,3574.372,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,COP 20AUG21 60.0 C,0,-10,--,3.4,-1915,-185,-4.37673,0,-2104.37673,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GME 05FEB21 400.0 C,0,0,--,--,4160.52,4529.48,-1.933649,0,8688.066351,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GME 12FEB21 200.0 C,0,0,--,--,1201.91,1048.09,-1.125525,0,2248.874475,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GME 05MAR21 45.0 C,0,0,--,--,-15956.16,18516.16,-0.668176,0,2559.331824,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GME 19MAR21 200.0 C,0,0,--,--,9336.14,-3536.14,-0.73978,0,5799.26022,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GME 07MAY21 250.0 C,0,0,--,--,740.17,380.83,-2.374562,0,1118.625438,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,GME 21MAY21 140.0 P,0,0,--,--,872.5,-387.5,-1.879755,0,483.120245,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NESN 19MAR21 98.0 P,0,0,--,--,270.550076,-64.718076,-3.79508,0,202.03692,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NVT 19MAR21 22.5 P,0,0,--,--,650.1,49.9,1.12653,0,701.12653,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,QRVO 20AUG21 140.0 P,0,0,--,--,2283.09,80.91,-2.227404,0,2361.772596,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPX 16JUL21 3700.0 P,0,1,--,10.1195,-1053.05,65,-1.5328,0,-989.5828,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SPX 20AUG21 3700.0 P,0,1,--,27.3419,-1545.81,120,-1.5328,0,-1427.3428,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,TSLA 19MAR21 700.0 P,0,0,--,--,-106.13,2552.13,-2.3329966,0,2443.667003,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,TSLA 16APR21 500.0 P,0,0,--,--,1879.87,329.13,-1.79164,0,2207.20836,,,,
Mark-to-Market Performance Summary,Data,Equity and Index Options,TSLA 16JUL21 400.0 P,0,0,--,--,858.56,-18.56,-1.592794,0,838.407206,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,7579.150076,23665.02192,-40.2592276,0,31203.91277,,,,
Mark-to-Market Performance Summary,Data,Futures,6AH1,0,0,--,--,7030,-475,-74.1,0,6480.9,,,,
Mark-to-Market Performance Summary,Data,Futures,6EM1,0,0,--,--,2925,-2637.5,-7.41,0,280.09,,,,
