Instrument,Currency,Result,Quantity,EntryDt,Entry,Closure Dt,Closure,Result in BC,Multiplier,Type
GME 19MAR21 200.0 C,USD,-5800.0,-2.0,"2021-03-08, 10:49:40",29.0,"2021-03-19, 16:20:00",0.0,-5800.0,100.0,Equity and Index Options
GME 07MAY21 250.0 C,USD,-1121.0,-1.0,"2021-04-19, 10:35:46",12.2,"2021-05-03, 15:43:38",0.99,-1121.0,100.0,Equity and Index Options
GME 21MAY21 140.0 P,USD,-484.99999999999994,-1.0,"2021-05-10, 10:45:23",5.5,"2021-05-17, 15:02:44",0.65,-484.99999999999994,100.0,Equity and Index Options
NVT 19MAR21 22.5 P,USD,-700.0,-10.0,"2021-02-12, 15:49:00",0.7,"2021-03-19, 16:20:00",0.0,-700.0,100.0,Equity and Index Options
QRVO 20AUG21 140.0 P,USD,-2364.0,-3.0,"2021-02-04, 14:48:31",10.8,"2021-04-01, 15:55:09",2.92,-2364.0,100.0,Equity and Index Options
TSLA 19MAR21 700.0 P,USD,2445.9999999999995,1.0,"2021-01-07, 11:39:12",54.0,"2021-02-23, 09:34:42",78.46,2445.9999999999995,100.0,Equity and Index Options
TSLA 16APR21 500.0 P,USD,-2209.0,-1.0,"2021-03-04, 13:19:26",24.0,"2021-04-01, 15:56:15",1.91,-2209.0,100.0,Equity and Index Options
TSLA 16JUL21 400.0 P,USD,-840.0,-1.0,"2021-05-13, 15:55:32",11.4,"2021-05-26, 10:29:01",3.0,-840.0,100.0,Equity and Index Options
6AH1,USD,824.9999999999868,2.0,"2021-01-07, 09:56:24",0.7738750000000001,"2021-01-21, 07:48:10",0.778,824.9999999999868,100000.0,Futures
6AH1,USD,1094.999999999946,3.0,"2021-01-07, 09:56:24",0.7657000000000002,"2021-01-28, 13:53:07",0.76935,1094.999999999946,100000.0,Futures
6AH1,USD,2090.000000000003,3.0,"2021-01-07, 09:56:24",0.7640333333333333,"2021-02-08, 10:36:55",0.771,2090.000000000003,100000.0,Futures
6AH1,USD,739.9999999999962,1.0,"2021-01-07, 09:56:24",0.7773,"2021-02-19, 07:15:22",0.7847,739.9999999999962,100000.0,Futures
6AH1,USD,1804.9998000000178,6.0,"2021-01-07, 09:56:24",0.7673249999999999,"2021-03-09, 04:14:22",0.770333333,1804.9998000000178,100000.0,Futures
6EM1,USD,287.4999999999961,4.0,"2021-03-17, 17:15:00",1.191925,"2021-04-14, 17:15:00",1.1925,287.4999999999961,125000.0,Futures
S30YK1,USD,121.99999999999989,1.0,"2021-04-15, 11:55:48",22.23,"2021-05-20, 09:40:49",23.45,121.99999999999989,100.0,Futures
ZB   JUN 21,USD,-906.25,-1.0,"2021-04-15, 15:21:22",158.75,"2021-04-16, 10:09:57",157.84375,-906.25,1000.0,Futures
ZN   JUN 21,USD,-578.125,-1.0,"2021-04-15, 12:03:42",132.5,"2021-04-28, 02:57:36",131.921875,-578.125,1000.0,Futures
AUD 09APR21 0.76 P,USD,-1200.0,-3.0,"2021-03-23, 05:18:44",0.004,"2021-04-09, 17:15:00",0.0,-1200.0,100000.0,Options On Futures
GC APR21 1700.0 P,USD,-180.00000000000006,-1.0,"2021-02-19, 12:29:56",10.0,"2021-02-25, 07:46:28",8.2,-180.00000000000006,100.0,Options On Futures
EUR 03MAR21 1.215 C,USD,-1274.9999999999998,-8.0,"2021-02-18, 08:17:05",0.002875,"2021-02-26, 15:05:43",0.0016,-1274.9999999999998,125000.0,Options On Futures
EUR 07APR21 1.19 P,USD,-550.0,-1.0,"2021-03-18, 12:07:28",0.0044,"2021-04-07, 17:15:00",0.0,-550.0,125000.0,Options On Futures
EUR 14APR21 1.1925 C,USD,-1000.0,-4.0,"2021-04-06, 12:45:17",0.002,"2021-04-14, 17:15:00",0.0,-1000.0,125000.0,Options On Futures
EUR 17MAR21 1.2 P,USD,-600.0,-4.0,"2021-03-01, 08:26:26",0.0036,"2021-03-03, 14:51:41",0.0024,-600.0,125000.0,Options On Futures
